Theta,N,DoFs,Total DoFs,Error Estimate,Cost
0.0,93,3423,10860,0.005604588152577077,-4.102109482806724
0.01,102,2490,10143,0.0035320238163916383,-4.56382377512675
0.02,111,2402,10917,0.0022300257182396735,-5.024792467559964
0.03,120,2650,12620,0.001410541618198003,-5.484030896382369
0.04,120,2623,12536,0.0014117063229530707,-5.480065685332207
0.05,120,2520,11676,0.0014267363913800235,-5.475193486883757
0.06,120,2357,11404,0.0014380430409344778,-5.471072973287006
0.07,120,2175,10364,0.0014474366007947064,-5.454973966650946
0.08,129,2462,12378,0.0009207258278661195,-5.912015690970831
0.09,120,2045,10074,0.0014495459085255547,-5.453428590848749
0.1,129,2354,11260,0.000955707821094539,-5.868990605268971
0.11,129,2255,11372,0.0009763022674848507,-5.839957227542773
0.12,129,2242,11298,0.0009837566851501084,-5.839957227542773
0.13,129,2244,10882,0.0009865935513294038,-5.806799764043757
0.14,129,2034,10422,0.0010245716386717164,-5.695833283101546
0.15,129,1931,10245,0.0010652695285793257,-5.772424195217114
0.16,138,2414,12328,0.0007135508092526537,-6.14097578738052
0.17,138,2344,12228,0.000723088674472702,-6.166971669099843
0.18,138,2296,11940,0.0007154410023517539,-6.136084315547549
0.19,138,2209,11647,0.0007300858414939277,-6.103549690391701
0.2,138,2251,11652,0.0007854862525159639,-6.172483664852603
0.21,138,2226,11513,0.0007312356203199514,-6.09633253426371
0.22,138,2119,11075,0.0007796463920930446,-6.013021116323918
0.23,138,2065,10793,0.0008264947599248857,-5.864436812404768
0.24,138,1975,10484,0.0009551774299241944,-5.854634265726308
0.25,138,2002,10630,0.0008569188285474019,-5.986310623563858
0.26,138,1920,10376,0.0009135225953898299,-5.985590913486212
0.27,138,1981,10315,0.0008885097351438437,-6.040952062355124
0.28,147,2268,12235,0.0006181429728589818,-6.3145979722250445
0.29,147,2141,12136,0.0005878102526120593,-6.300292382707153
0.3,147,2168,11823,0.0006552879486763566,-6.276450042926259
0.31,147,2218,11582,0.0006680067944642249,-6.274352074939209
0.32,147,2218,11542,0.0006942738577878614,-6.2567353618937425
0.33,147,2247,11569,0.0007160320753707615,-6.266459455565285
0.34,147,2209,11843,0.0007142819756574752,-6.218148876323988
0.35,147,2119,11818,0.0006737316195702478,-6.220862053369767
0.36,147,2119,11818,0.0006737316195702478,-6.220862053369767
0.37,147,2119,11798,0.0006737316195702478,-6.220862053369768
0.38,147,2071,11708,0.0007042771587741976,-6.220862053369768
0.39,147,2077,11457,0.0006931975480201464,-6.2360268617739285
0.4,147,1891,10410,0.0007846748334446432,-6.12350572170313
0.41,147,2088,10893,0.0007209526834248911,-6.234368284292631
0.42,147,2088,10893,0.0007209526834248911,-6.234368284292631
0.43,147,2070,11365,0.0007056870301112333,-6.169835927553133
0.44,147,2070,10952,0.0008252110752499726,-6.158832594556981
0.45,147,1898,10374,0.0008573249428752821,-5.907094502313836
0.46,147,1877,10485,0.0008264466244377588,-6.0204100655281305
0.47,147,1859,10253,0.0008171819585802073,-6.038666213536784
0.48,147,1850,10139,0.0009320727911681751,-5.902614418442059
0.49,147,1850,10139,0.0009320727911681751,-5.902614418442059
0.5,147,1819,10085,0.0009320727911681751,-5.888058106548889
0.51,147,1785,10050,0.0009579331358615481,-5.8876812203918165
0.52,147,1785,10058,0.0009446887213605315,-5.889588596218616
0.53,147,1785,10058,0.0009446887213605315,-5.889588596218616
0.54,147,1803,10056,0.000997570909790668,-5.901559580142773
0.55,147,1882,10121,0.0009944489592018672,-5.896849967363605
0.56,147,1882,10121,0.0009944489592018672,-5.896849967363605
0.57,147,1882,10102,0.0009944489592018672,-5.896849967363605
0.58,147,1882,10102,0.0009944489592018672,-5.896849967363605
0.59,147,1882,10110,0.0009944489592018672,-5.896849967363603
0.6,156,2078,12076,0.0006594373135439232,-6.293263148026576
0.61,147,1801,10006,0.0009944489592018672,-5.896849967363603
0.62,156,2078,11918,0.0006594373135439232,-6.2932631480265755
0.63,156,2078,11918,0.0006594373135439232,-6.2932631480265755
0.64,156,2148,11946,0.0006996047438559834,-6.2932631480265755
0.65,156,2148,11946,0.0006996047438559834,-6.2932631480265755
0.66,156,2139,11937,0.0006996047438559834,-6.2932631480265755
0.67,156,2108,11955,0.0006545452461326367,-6.222141864940644
0.68,156,2099,11807,0.0006618834798776445,-6.235414734896373
0.69,156,2077,11670,0.0006609420496880987,-6.223553380048216
0.7,156,2035,11628,0.0006609420496880987,-6.223553380048216
0.71,147,1551,10065,0.0011272490105030497,-5.798353737795944
0.72,147,1607,10260,0.0010403414861102,-5.881586628221663
0.73,147,1672,11150,0.0011043026675876077,-5.907819545252251
0.74,147,1672,11456,0.0011043026675876077,-5.9078195452522495
0.75,147,1672,11456,0.0011043026675876077,-5.9078195452522495
0.76,144,1499,11222,0.0011470343255841763,-5.8976129942653
0.77,144,1499,11222,0.0011470343255841763,-5.8976129942653
0.78,144,1456,11121,0.0011382041521855967,-5.857489584679399
0.79,144,1456,11121,0.0011382041521855967,-5.857489584679399
0.8,144,1456,11277,0.0011382041521855967,-5.8574895846794
0.81,138,1300,10026,0.0015375758583827514,-5.511628230641309
0.82,138,1300,10019,0.0015375758583827514,-5.511628230641309
0.83,126,993,10094,0.002266317030394014,-5.2186483248793305
0.84,126,984,10303,0.002260811212928009,-5.2186483248793305
0.85,126,984,10118,0.002260811212928009,-5.2186483248793305
0.86,126,984,10118,0.002260811212928009,-5.2186483248793305
0.87,126,984,10059,0.002260811212928009,-5.2186483248793305
0.88,126,984,10895,0.002260811212928009,-5.2186483248793305
0.89,120,980,10072,0.002912606305787791,-5.166226832685417
0.9,120,921,10323,0.002912606305787791,-5.166226832685417
0.91,120,921,10886,0.002912606305787791,-5.166226832685417
0.92,120,921,10886,0.002912606305787791,-5.166226832685417
0.93,117,899,10550,0.0030693622696387666,-4.808390161194953
0.94,111,895,10556,0.004389900149111922,-4.721241269128627
0.95,111,765,10448,0.004389900149111922,-4.721241269128627
0.96,111,765,10448,0.004389900149111922,-4.721241269128627
0.97,111,670,10240,0.00478964058335661,-4.6722255333699225
0.98,108,667,10237,0.00478964058335661,-4.6722255333699225
0.99,108,648,10314,0.005030257167661685,-4.463278020132635
